policy_item_id,section,language,text
677319,CANON_EN,UNK,"3, 3'-Diindolylmethane (DIM)"
677344,CANON_EN,UNK,4-hydroxy isoleucine
677369,CANON_EN,UNK,5-hydroxytryptophan
677449,CANON_LAT,LATIN,Abies balsamea
677449,SYN_LAT,LATIN,Abies balsamea f. balsamea
677479,CANON_LAT,LATIN,Abies pectinata
677479,SYN_LAT,LATIN,Abies alba Mill.
677504,CANON_LAT,LATIN,Acacia arabica
677504,SYN_LAT,LATIN,Acacia nilotioca (L.) Delile
677529,CANON_LAT,LATIN,Acacia nilotica
677529,SYN_LAT,LATIN,Acacia arabica
677558,CANON_LAT,LATIN,Acacia rigidula
677558,SYN_UNK,UNK,Blackbrush Acacia
677638,CANON_LAT,LATIN,Acacia verek
677638,SYN_LAT,LATIN,Acacia senegal
677663,CANON_LAT,LATIN,Acanthopanax senticosus
677663,SYN_LAT,LATIN,Eleutherococcus senticosus Maxim.
677688,CANON_LAT,LATIN,Acca sellowiana
677688,SYN_LAT,LATIN,Acca sellowiana var. rugosa (Mattos) Mattos
677721,CANON_LAT,LATIN,Acer nigrum
677746,CANON_LAT,LATIN,Acer rubrum
677771,CANON_LAT,LATIN,Acer saccharum
677771,SYN_LAT,LATIN,Acer barbatum f. commune Ashe
677809,CANON_EN,UNK,Acetyl L-carnitine
677846,CANON_LAT,LATIN,Achillea millefolium
677846,SYN_LAT,LATIN,Achillea millefolium f. pannonica (Scheele) J.Weiss
677876,CANON_LAT,LATIN,Achras zapota
677876,SYN_LAT,LATIN,Manilkara zapota (L.) P.Royen
677901,CANON_LAT,LATIN,Actinidia arguta
677927,CANON_LAT,LATIN,Actinidia chinensis
677927,SYN_LAT,LATIN,Actinidia chinensis f. jinggangshanensis C.F.Liang
677952,CANON_LAT,LATIN,Actinidia deliciosa
677952,SYN_LAT,LATIN,Actinidia chinensis f. chlorocarpa C.F.Liang
677991,CANON_LAT,LATIN,Adhatoda vasica
678027,CANON_LAT,LATIN,Aegopodium podagraria
678027,SYN_LAT,LATIN,Aegopodium angelicifolium Salisb.
678056,CANON_LAT,LATIN,Aframomum melegueta
678056,SYN_LAT,LATIN,Aframomum melegueta var. violaceum (Ridl.) K.Schum.
678118,CANON_LAT,LATIN,Agaricus blazei
678118,SYN_LAT,LATIN,Agaricus brasiliensis
678118,SYN_LAT,LATIN,Agaricus subrufescens
678118,SYN_UNK,UNK,rufotegulis
678152,CANON_LAT,LATIN,Agathosma betulina
678152,SYN_UNK,UNK,Barosma betulina Bartl. & H.L.Wendl.
678204,CANON_LAT,LATIN,Agave sisalana
678204,SYN_UNK,UNK,Agave amaniensis Trel. & Nowell
678239,CANON_LAT,LATIN,Agave tequilana
678239,SYN_UNK,UNK,Agave angustifolia subsp. tequilana (F.A.C.Weber) Valenz.-Zap. & Nabhan
678265,CANON_EN,UNK,Agmatine (4-aminobutyl) guanidine sulfate
678290,CANON_LAT,LATIN,Ajuga reptans
678290,SYN_LAT,LATIN,Ajuga abnormis Rouy
678346,CANON_LAT,LATIN,Albatrellus ovinus
678377,CANON_LAT,LATIN,Albizia julibrissin
678407,CANON_LAT,LATIN,Allium chinense
678432,CANON_LAT,LATIN,Allium fistulosum
678432,SYN_LAT,LATIN,Allium bouddae Debeaux
678470,CANON_LAT,LATIN,Allium ramosum
678495,CANON_LAT,LATIN,Allium scorodoprasum L.
678520,CANON_LAT,LATIN,Allium tuberosum
678559,CANON_LAT,LATIN,Allium ursinum
678609,CANON_LAT,LATIN,Aloe ferox
678650,CANON_LAT,LATIN,Aloysia citrodora
678675,CANON_EN,UNK,Alpha-Ketoglutarate Calcium
678710,CANON_EN,UNK,Alpha–hydroxy-isocaproic Acid
678735,CANON_LAT,LATIN,Alpinia galanga
678735,SYN_LAT,LATIN,Alpinia alba (Retz.) Roscoe
678805,CANON_LAT,LATIN,Althaea officinalis
678805,SYN_UNK,UNK,Althaea kragujevacensis Pančić
678845,CANON_LAT,LATIN,Amaranthus caudatus
678845,SYN_LAT,LATIN,Amaranthus abyssinicus hort. ex L.H.Bailey
678845,SYN_LAT,LATIN,Amaranthus paniculatus
678886,CANON_LAT,LATIN,Amaranthus cruentus
678886,SYN_LAT,LATIN,Amaranthus anacardana Hook.f.
678922,CANON_LAT,LATIN,Amaranthus edulis
678947,CANON_LAT,LATIN,Amaranthus flavus
678972,CANON_LAT,LATIN,Amaranthus hypocondriacus
679008,CANON_LAT,LATIN,Amaranthus leucocarpus
679033,CANON_LAT,LATIN,Amaranthus mantegacianus
679058,CANON_LAT,LATIN,Amaranthus paniculatus
679083,CANON_LAT,LATIN,Amaranthus tricolor
679108,CANON_LAT,LATIN,Ambrosia artemisiifolia
679133,CANON_LAT,LATIN,Amelanchier alnifolia
679219,CANON_LAT,LATIN,Anchusa officinalis L.
679244,CANON_LAT,LATIN,Andrographis paniculata
679279,CANON_LAT,LATIN,Angelica archangelica L.
679279,SYN_LAT,LATIN,Angelica archangelica subsp. norwegica (Rupr.) Nordh.
679304,CANON_LAT,LATIN,Angelica dahurica
679329,CANON_LAT,LATIN,Angelica pubescens
679354,CANON_LAT,LATIN,Angelica sinensis
679354,SYN_LAT,LATIN,Angelica polymorpha var. sinensis Oliv.
679424,CANON_LAT,LATIN,Annona cherimola
679424,SYN_LAT,LATIN,Annona pubescens Salisb.
679462,CANON_LAT,LATIN,Annona muricata
679462,SYN_LAT,LATIN,Annona bonplandiana Kunth
679505,CANON_LAT,LATIN,Annona reticulata
679505,SYN_LAT,LATIN,Annona excelsa Kunth
679542,CANON_LAT,LATIN,Annona squamosa
679542,SYN_LAT,LATIN,Annona asiatica L.
679584,CANON_LAT,LATIN,Antennaria dioica
679584,SYN_LAT,LATIN,Antennaria dioica var. australis Gris
679640,CANON_LAT,LATIN,Aphanizomenon flosaquae var. flosaquae
679673,CANON_LAT,LATIN,Apis mellifera
679706,CANON_EN,UNK,Apricot Kernel (Prunus Armeniaca L.)
679790,CANON_LAT,LATIN,Arbutus unedo
679790,SYN_LAT,LATIN,Arbutus cassinifolia Steud.
679856,CANON_LAT,LATIN,Areca catechu
679856,SYN_LAT,LATIN,Areca catechu f. communis Becc.
679881,CANON_LAT,LATIN,Aristotelia chilensis
679986,CANON_LAT,LATIN,Artemisia vulgaris L.
680011,CANON_LAT,LATIN,Arthrospira platensis
680011,SYN_UNK,UNK,Arthrospira jenneri var. platensis (Gomont) Guarrera & Kühnemann 0
680011,SYN_UNK,UNK,Oscillatoria platensis (Gomont) Bourrelly 1970
680011,SYN_UNK,UNK,Spirulina jenneri var. platensis Nordstedt 1884
680011,SYN_UNK,UNK,Spirulina platensis (Gomont) Geitler 1925
680147,CANON_LAT,LATIN,Artocarpus incisa
680172,CANON_LAT,LATIN,Artocarpus integrifolius
680260,CANON_LAT,LATIN,Asimina triloba
680296,CANON_LAT,LATIN,Asparagus acutifolius L and Asparagus aphyllus L
680321,CANON_LAT,LATIN,Asparagus racemosus
680354,CANON_LAT,LATIN,Aster tripolium
680354,SYN_LAT,LATIN,Tripolium pannonicum (Jacq.) Dobrocz.
680420,CANON_LAT,LATIN,Atriplex hortensis
680460,CANON_LAT,LATIN,Auricularia polytricha
680460,SYN_LAT,LATIN,Hirneola polytricha
680497,CANON_LAT,LATIN,Auxenochlorella protothecoides
680497,SYN_UNK,UNK,Auxenochlorella protothecoides var. galactophila Unknown authority 0
680497,SYN_UNK,UNK,Chlorella protothecoides Krüger 1894
680497,SYN_UNK,UNK,Chlorella protothecoides var. galactophila Shihira & R.W.Krauss 1965
680497,SYN_UNK,UNK,Palmellococcus protothecoides (Krüger) Chodat 1909
680522,CANON_LAT,LATIN,Auxenochlorella pyrenoidosa
680522,SYN_UNK,UNK,Chlorella pyrenoidosa H.Chick 1903
680547,CANON_LAT,LATIN,Avena sativa L.
680585,CANON_LAT,LATIN,Backhousia citriodora
680611,CANON_LAT,LATIN,Bacopa monnieri
680611,SYN_LAT,LATIN,Allocalyx microphylla Cordem.
680672,CANON_LAT,LATIN,Bactris gasipaes
680697,CANON_LAT,LATIN,Bactris major
680729,CANON_LAT,LATIN,Bambusa vulgaris Schrad. ex J.C.Wendl.
680754,CANON_LAT,LATIN,Barosma betulina
680779,CANON_LAT,LATIN,Basella alba
680817,CANON_LAT,LATIN,Basella rubra
680842,CANON_LAT,LATIN,Bertholletia excelsa
680882,CANON_EN,UNK,Beta-alanine
680907,CANON_EN,UNK,Beta-hydroxy beta methylbutyrate (HMB)
680932,CANON_LAT,LATIN,Betula alba
680957,CANON_LAT,LATIN,Betula alleghaniensis
680987,CANON_LAT,LATIN,Betula alnoides
680987,SYN_LAT,LATIN,Betula acuminata Wall.
681018,CANON_LAT,LATIN,Betula pendula
681018,SYN_LAT,LATIN,Betula alba
681049,CANON_LAT,LATIN,Betula pubescens
681079,CANON_LAT,LATIN,Bignonia lactiflora
681104,CANON_LAT,LATIN,Bignonia rigescens
681129,CANON_LAT,LATIN,Paecilomyces variotii
681191,CANON_LAT,LATIN,Borago officinalis L.
681216,CANON_LAT,LATIN,Borojoa patinoi
681241,CANON_LAT,LATIN,Borojoa sorbilis
681241,SYN_LAT,LATIN,Alibertia sorbilis Ducke
681266,CANON_LAT,LATIN,Boswellia serrata
681299,CANON_LAT,LATIN,Bovine lactoferrin
681324,CANON_LAT,LATIN,Brassica eruca
681349,CANON_LAT,LATIN,Brassica juncea
681387,CANON_LAT,LATIN,Brassica nigra
681426,CANON_EN,UNK,Brewer's spent grain
681451,CANON_EN,UNK,Brewer’s spent grain fiber (BSG-F) and brewer’s spent grain protein (BSG-P)
681476,CANON_LAT,LATIN,Bulbine natalensis
681501,CANON_LAT,LATIN,Cajanus cajan
681539,CANON_LAT,LATIN,Cakile maritima Scop.
681564,CANON_LAT,LATIN,Calendula officinalis L.
681589,CANON_LAT,LATIN,Calluna vulgaris
681619,CANON_LAT,LATIN,Camelina sativa
681662,CANON_LAT,LATIN,Camellia furfuracea
681689,CANON_LAT,LATIN,Camelus dromedarius
681717,CANON_LAT,LATIN,Canarium ovatum Engl.
681742,CANON_EN,UNK,Cannabidiol
681792,CANON_LAT,LATIN,Cannabis sativa L.
681857,CANON_LAT,LATIN,Capparis spinosa
681897,CANON_LAT,LATIN,Capsicum frutescens
681937,CANON_LAT,LATIN,Caralluma fimbriata
681962,CANON_LAT,LATIN,Carduus benedictus
681987,CANON_LAT,LATIN,Carica papaya
682024,CANON_LAT,LATIN,Carissa carandus
682052,CANON_EN,UNK,Carnosine
682086,CANON_LAT,LATIN,Carthamus tinctorius
682086,SYN_LAT,LATIN,Calcitrapa tinctoria Roehl.
682126,CANON_LAT,LATIN,Carum carvi
682165,CANON_LAT,LATIN,Castanea crenata
682190,CANON_LAT,LATIN,Castanea mollissima Blume
682190,SYN_LAT,LATIN,Castane sinensis Perr.
682190,SYN_LAT,LATIN,Castanea bungeana Blume
682240,CANON_LAT,LATIN,Celastrus orbiculatus
682298,CANON_LAT,LATIN,Centella asiatica
682298,SYN_LAT,LATIN,Hydrocotyle asiatica L.
682336,CANON_LAT,LATIN,Centrophorus squamosus
682371,CANON_LAT,LATIN,Ceratonia siliqua
682401,CANON_LAT,LATIN,Cervus elaphus
682441,CANON_LAT,LATIN,Cetraria islandica
682481,CANON_LAT,LATIN,Chamaemelum nobile
682481,SYN_LAT,LATIN,Anacyclus aureus L.
682481,SYN_LAT,LATIN,Anacyclus nobilis
682481,SYN_LAT,LATIN,Anthemis aurea
682481,SYN_LAT,LATIN,Anthemis nobilis L.
682522,CANON_LAT,LATIN,Chenopodium album L.
682572,CANON_LAT,LATIN,Chenopodium quinoa
682608,CANON_EN,UNK,Chioca
682633,CANON_LAT,LATIN,Chlamydomonas reinhardtii
682683,CANON_LAT,LATIN,Chlorella pyrenoidosa
682683,SYN_LAT,LATIN,Auxenochlorella pyrenoidosa
682683,SYN_LAT,LATIN,Chlorella vulgaris
682715,CANON_LAT,LATIN,Chlorella sorokiniana
682740,CANON_LAT,LATIN,Chlorella vulgaris
682740,SYN_UNK,UNK,Chlorella candida Shihira & R.W.Krauss 1965
682740,SYN_UNK,UNK,Chlorella communis Artari 1906
682740,SYN_UNK,UNK,Chlorella pyrenoidosa var. duplex (Kützing) West null Pleurococcusbeijerinckii Artari 1892
682740,SYN_UNK,UNK,Chlorella terricola Gollerbach[Hollerbach] 1936
682740,SYN_UNK,UNK,Chlorellavulgaris var. viridis Chodat 1913
682765,CANON_LAT,LATIN,Chondrus crispus
682765,SYN_UNK,UNK,Fucus ceranoides var.lacerus (Linnaeus) Lightfoot 1777
682765,SYN_UNK,UNK,Fucus crispus Linnaeus 1767
682765,SYN_UNK,UNK,Fucus crispus var. brunneus Goodenough & Woodward 1797
682765,SYN_UNK,UNK,Fucus crispus var. filiformis Goodenough & Woodward 1797
682765,SYN_UNK,UNK,Fucus crispus var. lacerus Turner1802
682765,SYN_UNK,UNK,Fucus crispus var. patens (Goodenough & Woodward) Turner1802
682765,SYN_UNK,UNK,Fucus crispus var. planus Turner 1802
682765,SYN_UNK,UNK,Fucus crispus var. sarniensis Turner 1802
682765,SYN_UNK,UNK,Fucus crispus var. virens Goodenough & Woodward 1797
682765,SYN_UNK,UNK,Fucus crispusvar. aequalis Goodenough & Woodward 1797
682765,SYN_UNK,UNK,Fucus lacerus Linnaeus 1763
682765,SYN_UNK,UNK,Fucus lacerus Stackhouse 1797
682765,SYN_UNK,UNK,Fucus norvegicus Gunnerus 1772
682765,SYN_UNK,UNK,Fucus patens Goodenough & Woodward 1797
682765,SYN_UNK,UNK,Fucus polymorphus J.V.Lamouroux 1803
682765,SYN_UNK,UNK,Gigartina heterocarpa (Postels & Ruprecht) D.H.Kim 1976
682765,SYN_UNK,UNK,Polymorpha crispa (Stackhouse) Stackhouse 1809
682765,SYN_UNK,UNK,Polymorpha norvegicus (Gunnerus) Stackhouse 1809
682790,CANON_LAT,LATIN,Chrysanthellum americanum
682790,SYN_UNK,UNK,Anthemis Americana Mutis ex L.
682904,CANON_LAT,LATIN,Cinnamomum verum
682904,SYN_LAT,LATIN,Cinnamomum zeylanicum J. Presl
682998,CANON_LAT,LATIN,Cistus x incanus
683086,CANON_LAT,LATIN,Citrus junos
683086,SYN_LAT,LATIN,Citrus aurantium subsp. junos Makino
683137,CANON_EN,UNK,Clinoptilolite
683169,CANON_LAT,LATIN,Clitoria ternatea
683198,CANON_LAT,LATIN,Cnicus benedictus
683198,SYN_LAT,LATIN,Centaurea benedicta (L.) L.
683228,CANON_LAT,LATIN,Cnidium monnieri
683260,CANON_LAT,LATIN,Codonopsis pilosula
683260,SYN_LAT,LATIN,Conodopsis modesta Nannf.
683352,CANON_LAT,LATIN,Coix lacryma-jobi
683377,CANON_LAT,LATIN,Cola nitida
683413,CANON_LAT,LATIN,Coleus forskohlii
683413,SYN_LAT,LATIN,Plectranthus forskohlii Willd.
683444,CANON_EN,UNK,Collagen
683469,CANON_LAT,LATIN,Colocasia antiquorum
683537,CANON_EN,UNK,Colostrum
683564,CANON_LAT,LATIN,Combretum micranthum
683595,CANON_LAT,LATIN,Commiphora subglauca
683620,CANON_LAT,LATIN,Conjugated linoleic acid
683655,CANON_LAT,LATIN,Consolida regalis
683705,CANON_LAT,LATIN,Corchorus olitorius
683756,CANON_LAT,LATIN,Ophiocordyceps sinensis
683756,SYN_LAT,LATIN,Cordyceps sinensis (Berk.) Sacc.
683756,SYN_LAT,LATIN,Sphaeria sinensis Berk.
683756,SYN_UNK,UNK,Hirsutella hepiali C.T. Chen & N.Y. Shen
683791,CANON_LAT,LATIN,Coriolus versicolor
683824,CANON_LAT,LATIN,Cortinarius caperatus
683849,CANON_LAT,LATIN,Corylus avellana
683902,CANON_LAT,LATIN,Coutarea latiflora
683927,CANON_LAT,LATIN,Crambe maritima L.
683952,CANON_LAT,LATIN,Crataegus laevigata
683952,SYN_LAT,LATIN,Crataegus laevigata subsp. laevigata
684015,CANON_LAT,LATIN,Crataegus pinnatifida
684091,CANON_LAT,LATIN,Creatine pyruvate
684195,CANON_LAT,LATIN,Curcuma zedoaria
684220,CANON_EN,UNK,Curcumin
684245,CANON_EN,UNK,Curcuminoids
684270,CANON_EN,UNK,Cyclopia sp.
684298,CANON_LAT,LATIN,Cyperus esculentus
684365,CANON_EN,UNK,D-mannose
684390,CANON_LAT,LATIN,Dacryodes edulis
684416,CANON_LAT,LATIN,Daucus carota L.
684461,CANON_LAT,LATIN,Daucus gingidium
684486,CANON_LAT,LATIN,Delphinium consolida L.
684486,SYN_LAT,LATIN,Ceratostanthus consolida Schur
684521,CANON_LAT,LATIN,Dendrobium nobile
684521,SYN_LAT,LATIN,Callista nobilis Kuntze
684521,SYN_LAT,LATIN,Dendrobium coerulescen Wall. ex Lindl.
684546,CANON_LAT,LATIN,Dendrocalamus asper
684546,SYN_LAT,LATIN,Bambusa aspera
684583,CANON_LAT,LATIN,Dendrocalamus latiflorus
684583,SYN_UNK,UNK,Bambusa latiflora.
684619,CANON_LAT,LATIN,Deodorised cocoa butter
684644,CANON_LAT,LATIN,Desmodium gangeticum
684673,CANON_LAT,LATIN,Desugared fermented orange juice
684698,CANON_EN,UNK,DHA and EPA ethyl esters oil from Schizochytrium sp. microalga
684723,CANON_LAT,LATIN,Dioscorea alata
684723,SYN_LAT,LATIN,Dioscorea alata var. globosa (Roxb.) Prain
684761,CANON_LAT,LATIN,Dioscorea esculenta
684761,SYN_LAT,LATIN,Dioscorea aculeata Roxb.
684824,CANON_LAT,LATIN,Dioscorea rotundata
684860,CANON_LAT,LATIN,Dipteryx alata
684885,CANON_LAT,LATIN,Distictis lactiflora
684885,SYN_LAT,LATIN,Amphilophium lactiflorum (Vahl) L.G.Lohmann
684912,CANON_LAT,LATIN,Distictis rigescens
684937,CANON_LAT,LATIN,Dolichos lablab
684962,CANON_LAT,LATIN,Dolichos purpureus
685012,CANON_LAT,LATIN,Durio zibethinus
685045,CANON_LAT,LATIN,Echinacea purpureae
685045,SYN_LAT,LATIN,Brauneria purpurea (L.) Britton
685083,CANON_LAT,LATIN,Echium vulgare L.
685108,CANON_LAT,LATIN,Eisenia bicyclis
685108,SYN_UNK,UNK,Ecklonia bicyclis Kjellman 1885
685108,SYN_UNK,UNK,Ecklonia wrightii Harvey 1860
685108,SYN_UNK,UNK,Eisenia arborea f. bicyclis (Kjellman) Yendo 1902
685187,CANON_LAT,LATIN,Eleocharis dulcis
685187,SYN_LAT,LATIN,Eleocharis equisetina
685187,SYN_UNK,UNK,E. indica
685187,SYN_UNK,UNK,E. plantaginea
685187,SYN_UNK,UNK,E. plantaginoides
685187,SYN_UNK,UNK,E. tuberosa
685187,SYN_UNK,UNK,E. tumida.
685266,CANON_LAT,LATIN,Emblica officinalis
685266,SYN_LAT,LATIN,Phyllanthus emblica L.
685308,CANON_LAT,LATIN,Empetrum nigrum
685308,SYN_LAT,LATIN,Chamaetaxus nigra (L.) Bubani
685340,CANON_LAT,LATIN,Emu oil
685390,CANON_LAT,LATIN,Epilobium angustifolium L.
685421,CANON_LAT,LATIN,Epimedium brevicornum Maxim
685446,CANON_LAT,LATIN,Epimedium grandiflorum
685506,CANON_LAT,LATIN,Epimedium sagitattum
685531,CANON_LAT,LATIN,Equisetum arvense
685531,SYN_UNK,UNK,Field Horsetail
685571,CANON_LAT,LATIN,Eragrostis tef
685571,SYN_LAT,LATIN,Cynodon abyssinicus (Jacq.) Raspail
685636,CANON_LAT,LATIN,Eruca sativa
685715,CANON_LAT,LATIN,Eugenia floribunda
685740,CANON_LAT,LATIN,Eugenia michelii
685765,CANON_LAT,LATIN,Eugenia uniflora
685805,CANON_LAT,LATIN,Euphausia superba
685838,CANON_LAT,LATIN,Euryale ferox
685863,CANON_LAT,LATIN,Eurycoma longifolia
685892,CANON_LAT,LATIN,Euterpe edulis
685892,SYN_LAT,LATIN,Euterpe edulis var. clausa Mattos
685917,CANON_EN,UNK,Euterpe spp.
685952,CANON_LAT,LATIN,Eutrema japonicum
685977,CANON_LAT,LATIN,Evodia lepta
686052,CANON_LAT,LATIN,Fallopia japonica
686077,CANON_LAT,LATIN,Feijoa sellowiana
686102,CANON_LAT,LATIN,Fermented coconut gel
686179,CANON_LAT,LATIN,Ferulic acid
686205,CANON_LAT,LATIN,Festuca arundinacea
686268,CANON_LAT,LATIN,Flour from Buckwheat seedlings with a high spermidine content
686293,CANON_LAT,LATIN,Foeniculum vulgare
686333,CANON_LAT,LATIN,Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier
686358,CANON_LAT,LATIN,Fraxinus ornus
686386,CANON_LAT,LATIN,Fucus nodosus
686411,CANON_LAT,LATIN,Fucus serratus
686411,SYN_UNK,UNK,Halidrys serrata (Linnaeus) Stackhouse 1809
686411,SYN_UNK,UNK,Virsodes serratum (Linnaeus) Kuntze 1891
686438,CANON_LAT,LATIN,Fucus spiralis
686438,SYN_UNK,UNK,Fucus areschougii Kjellman 1890
686438,SYN_UNK,UNK,Fucus areschougii f. nanus Kjellman 1890
686438,SYN_UNK,UNK,Fucus areschougii var. borealis (Kjellman) Kjellman 1890
686438,SYN_UNK,UNK,Fucus platycarpus f. spiralis (Linnaeus) Thuret 1878
686438,SYN_UNK,UNK,Fucus platycarpus var. spiralis (Linnaeus) Rosenvinge 1897
686438,SYN_UNK,UNK,Fucus sherardii f. spiralis (Linnaeus) Areschoug 1868
686438,SYN_UNK,UNK,Fucus spiralis f. arenicola Hamel 1939
686438,SYN_UNK,UNK,Fucus spiralis f. borealis Kjellman 1883
686438,SYN_UNK,UNK,Fucus spiralis f. nanus (Kjellman) Batters 1902
686438,SYN_UNK,UNK,Fucus spiralis var. nanus (Kjellman) S.M.Baker & Bohling 1916
686438,SYN_UNK,UNK,Fucus spiralis var. nanus (Stackhouse) Batters 1902
686438,SYN_UNK,UNK,Fucus spiralis var. typicus Børgesen 1902
686438,SYN_UNK,UNK,Fucus vesiculosus f. spiralis (Linnaeus) Batters 1890
686438,SYN_UNK,UNK,Fucus vesiculosus var. spiralis (Linnaeus) C.Agardh 1810
686438,SYN_UNK,UNK,Fucus vesiculosus var. spiralis (Linnaeus) Roth 1800
686438,SYN_UNK,UNK,Halidrys spiralis (Linnaeus) Stackhouse 1809
686463,CANON_LAT,LATIN,Fucus vesiculosus
686463,SYN_UNK,UNK,Fucus divaricatus Linnaeus 1753
